No,Nama obat,Kandungan obat,Kegunaan obat,Dosis,Efek
77,Bacbutinh,"Ethambutol HCl 250 mg, INH 100 mg, Vitamin B6 5 mg",Pengobatan TB pulmoner dan ekstrapulmoner,Terapi awal dan profilaksis: ethambutol 15 mg/KgBB/hari dosis tunggal dengan INH 300 mg/hari. Terapi ulangan sesudah 2 bulan fase awal: ethambutol 25mg/kgBB/hari dosis tunggal dengan INH 300 mg/hari.,"Neuritis retrobulbar dengan penurunan daya penglihatan, skotoma sentral, buta warna hijau-merah, ruam alergi, gangguan gastrointestinal, gangguan saraf pusat, hiperurisemia."
78,Berzymplex,"Berzymplex mengandung beberapa zat aktif seperti di bawah ini, yaitu:    Pancreatin 112.5 mg  Dimethylpolysiloxane 25 mg Ox bile 30 mg Vitamin B6 5 mg   thiamin AtauVitamin B1  10 mg Vitamin B2 5 mg  niacinamide 10 mg Ca pantothenate 5 mg dan juga mengandung vitamin B12 5 mcg","mengatasi berbagai macam kondisi seperti di bawah ini:  Perut kembung,   Mual dan juga muntah, Nyeri yang terjadi pada ulu hati, Serta juga bisa anda gunakan untuk membantu melancarkan buang air besar",·         Dosis yang diberikan untuk orang dewasa yakni sebanyak satu sampai dengan 2 tablet dan dikonsumsi sebanyak 3 kali dalam sehari. Sementara untuk dosis yang diperbolehkan dikonsumsi oleh anak-anak yaitu sebanyak 1 tablet dan dikonsumsi sebanyak 2 sampai tiga kali atau disesuaikan dengan anjuran dari dokter anda.,"·         Efek samping dari penggunaan obat Berzymplex adalah seperti mual, muntah, atau juga bisa menyebabkan perut anda terasa kurang enak."
79,Berlosid,"Al(OH)3 261.4 mg, Mg(OH)2 200 mg, dimethicone 40 mg","Kelebihan asam lambung, tukak lambung, gastritis, tukak usus duabelas jari","Anak 6 - 12 tahun : sehari 4 1/2 tablet atau 1/2 sendok suspensi, 1 - 2 jam sebelum makan atau sebelum tidur; dewasa, 4 kali sehari 1 tablet atau 1 sendok sebelum makan dan sebelum tidur","Berkurangnya kepadatan tinja, menganggu penyerapan asam folat dan zat besi"
80,Bidium,Loperamida HCI 2 mg,"diare non spesifik, diare kronik",Diare non spesifik: 2-4 mg 1-2 kali sehari. Diare kronik: 4-6 mg sehari,"mual, gangguan kulit, letih, mulut kering"
81,Catapres,Clonidine HCl 150 mcg,Hipertensi,75-150mcg per hari,"Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Mulut kering dan sedasi, mual, muntah, pusing, impotence, penurunan libido"
82,Coric,Allopurinol 100 mg,Hiperurisemia primer: gout  Hiperurisemia sekunder: mencegah pengendapan asam urat dan kalsium oksalat.,"Dewasa: Awalnya, 100 mg setiap hari, disesuaikan dengan penambahan 100 mg setiap 2-4 minggu sesuai dengan konsentrasi serum urat. Pemeliharaan: 100-200 mg setiap hari (ringan); 300-600 mg setiap hari (cukup parah); 700-900 mg setiap hari (berat). Maks: 900 mg setiap hari. Dosis> 300 mg setiap hari harus diminum dalam dosis terbagi. Anak: Dalam hiperuremia yang berhubungan dengan gangguan enzim","Mual, Muntah, Lelah, Sakit kepala, Ruam kulit, Depresi, Diare, Vertigo, Mengantuk, Gangguan daya penglihatan."
83,Dextral forte,"Dextromethorphan HBr 15 mg, glyceryl guaiacolate 75 mg, phenylpropanolamine HCl 15 mg, chlorpheniramine maleate 2 mg",Untuk meringankan batuk dan pilek.,Dewasa: 3 kali sehari 1 kaplet. Anak-anak 6 – 12 tahun: 3 kali sehari ½ kaplet.,"Obat ini dapat menyebabkan kantuk, gangguan pencernaan, gangguan psikomotor, takikardia, aritmia, mulut kering, palpitasi, retensi urine."
84,Diaramid,Loperamide HCL 2 mg,"Diaramid digunakan untuk mengobati gejala diare. Gejala fases cair, mual muntah, sakit kepala, sakit pada bagian perut","Dosis awal pemakaian dewasa: 2 tablet Dosis selanjutnya: 1 tablet, dengan maksimal pemakaian 3x sehari Sebaiknya obat dikonsumsi setelah buang air besar.","Efek samping penggunaan Diaramid yang mungkin terjadi adalah: Pusing, Terasa lemas, Menyebabkan kantuk, Menyebabkan konstipasi/sembelit, Kembung, Mual dan muntah, Gangguan pada pencernaan."
85,Dexicotra,Dexamethasone 0.5 mg.,"Dexicorta digunakan untuk meredakan peradangan yang disebabkan oleh penyakit reumatik, dapat di gunakan untuk meredakan alergi, terapi insufisensi adrenal, dan terapi pendamping untuk asma.",Dewasa: dosis awalnya: di berikan dosis 0.5-9 mg setiap hari dalam dosis terbagi. Maksimal: 1.5 mg setiap hari. Dosis bersifat individual dan disesuaikan tergantung pada penyakit yang dirawat dan respons pasien. Anak: Dosis awal: 0.02-0.3 mg / kg berat badan setiap hari dalam 3-4 dosis terbagi. Dosis tergantung pada tingkat keparahan penyakit dan respons pasien.,"Efek samping yang mungkin terjadi selama penggunaan obat Dexicorta, antara lain Moon Face atau bengkak pada wajah, Gangguan saluran cerna, Diabetes melitus, Hipertensi, Nafsu makan meningkat, Osteonekrosis (proses kematian pada tulang yang juga menyebabkan gangguan dari suplai pembuluh darah tulang)"
86,Freedol,Asam Mefenamat 500 mg,"Freedol digunakan untuk mengurangi nyeri ringan hingga sedang seperti sakit gigi, nyeri haid, nyeri pasca trauma (terjatuh atau terbentur), nyeri otot, sakit kepala.",Dewasa dan anak-anak usia diatas 14 tahun: Dosis Awal 500 mg tiga kali sehari.,"Efek samping yang mungkin terjadi selama penggunaan Freedol antara lain mual, diare, pusing, muntah, rasa mengantuk, sakit kepala, perdarahan lambung."
87,Farmoten,Captopril 25 mg,"Hipertensi ringan sampai berat, gagal jantung","Dewasa : Untuk hipertensi : awal 12.5-25 mg 2-3 kali/hari. Dosis dapat ditingkatkan menjadi 50 mg 2-3 kali/hari, bila setelah 2 minggu belum terlihat penurunan TD yang adekuat. Untuk hipertensi ringan-sedang : maksimal 150 mg/hari. Untuk hipertensi berat : maksimal 450 mg/hari. Untuk gagal jantung : 12.5-25 mg 3 kali/hari, sebaiknya dimulai 12.5 mg 3 kali/hari.","Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Hipotensi ortostatik, takikardia, kardiomiopati hipertropik, sakit Ruam, pruritus, muka kemerahan, batuk kering, kehilangan persepsi pengecapan, proteinuria, batuk"
88,Forten,Captopril 12.5 mg; Captopril 25 mg; Captopril 50 mg,Forten digunakan sebagai obat terapi hipertensi.,"Hipertensi: Dewasa: Awalnya, 25-75 mg setiap hari dalam 2-3 dosis terbagi. Dosis individual sesuai dengan respon klinis dan dapat ditingkatkan setelah setidaknya 2 minggu, menjadi 100-150 mg setiap hari dalam 2-3 dosis terbagi sesuai kebutuhan. Pasien dengan diuretik atau dengan dekompensasi jantung:Pada awalnya, 6.25 mg atau 12.5 mg diminum 2 kali sehari. Anak: Bayi baru lahir dan bayi: 0.15 mg / kg berat badan. Anak-anak dan remaja: 0.3 mg / kg berat badan. Semua dosis diberikan sesuai dengan respons atau berdasarkan respons pasien. Lansia: Awalnya, 6.25 mg diminum 2 kali sehari.","Efek samping penggunaan Forten yang mungkin terjadi adalah: Ruam, pruritus (rasa gatal seluruh tubuh), Kemerahan, Proteinuria (urin mengandung jumlah protein yang tidak normal), Sesak, Trombositopenia (jumlah trombosit kurang dari normal), Gangguan atau gagal ginjal, Mual, muntah, Diare, sembelit, Mulut kering,  Ketidaknyamanan uluhati, Nyeri perut, Tukak lambun"
89,Gludepatic,Metformin HCl 500 mg,erapi awal untuk diabetes dewasa dengan keadaan kelebihan berat badan serta kadar gula darah yang tidak dapat dikendalikan hanya dengan diet saja. Terapi kombinasi untuk kegagalan terapi Sulfonilurea primer atau sekunder. Terapi tambahan pada insulin-dependent diabetes mellitus (IDDM) atau diabetes tipe 1 untuk mengurangi dosis insulin.,Dosis awal: Sehari 2 x 500 mg atau 2 x 850 mg. Dosis dapat ditingkatkan sesuai dengan respon pasien. Dosis maksimal 3000 mg/hari dalam 3 dosis terbagi. Dosis pemeliharaan: Sehari 2 x 850 mg.,"noreksia, mual, muntah, daire. Berkurangnya absorpsi vitamin B12. Mialgia, kepala terasa ringan. Ruam kulit. Keringat berlebihan, dan gangguan daya pengecapan."
90,Hufanoxil,Amoxicillin 500 mg.,"Hufanoxil di gunakan untuk mengobati infeksi yang disebabkan oleh bakteri, seperti infeksi saluran pernafasan bagian bawah dan infeksi pada telinga, hidung dan tenggorokan yang disebabkan oleh Streptococci, Pneumococci, Staphylococci non penicilinase dan H Influenzae, infeksi pada traktus Genitourinary yang disebabkan oleh E coli, Proteus mirabilis, dan Streptococcus faecalis, gonorrhoea acute tidak terkomplikasi, infeksi ano-genital dan urethral yang disebabkan oleh N gonorrhoea.","Dewasa: diminum 3 x sehari dengan dosis 250 mg, jika infeksi berat di berikan dosis 500 mg. Anak usia  Anak dengan berat badan < 20 kg: dosis 20-40 mg/kg berat badan perhari. Khusus gonorrhoea untuk dewasa: di berikan dosis 3 g dalam dosis tunggal sering ditambahkan probenecid 1 gram.",Efek samping penggunaan Hufanoxil yang mungkin terjadi adalah: Mual dan muntah. Diare. Urtikaria/biduran. Kolestatis (berkurangnya atau terhentinya aliran empedu). Kristaluria (keadaan dimana urin atau kencing kita mengandung kristal-kristal). Anemia (berkurangnya jumlah sel darah merah atau kandungan hemoglobin didalam darah). Trombositopenia (penurunan jumlah platelet dalam darah di bawah batas minimal). Eosinofilia (tingginya rasio eosinofil di dalam plasma darah). Leukopenia (rendahnya jumlah total sel darah putih/leukosit dibanding nilai normal) Agranulositosis (Sel darah putih dapat berkurang akibat infeksi dari patogen khususnya mikroorganisme).
91,Lexahist,Cyproheptadine Hydrochloride 4 mg,Manifestasi alergi di kulit / pada urtikaria dan angioderma; Cold urticaria; Alergi rhinitis; Vasomotor rhinitis,PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.,-
92,Lapistan,Asam Mefenamat 500 mg,"Meredakan nyeri ringan hingga sedang pada sakit kepala, sakit gigi, nyeri haid primer, nyeri reumatik, nyeri otot, dan nyeri paska operasi","Dewasa dosis Awal 500 mg, dilanjutkan 250 mg tiap 6 jam, bila perlu.","Gangguan GI, mengantuk, hipertensi"
93,Loperamide,Loperamide HCl 2 mg,Diare akut non spesifik & diare kronik,Dewasa : awal 2 tablet kemudian 1 tablet setiap habis defekasi. Maksimal : 8 tablet/hari. Anak >8 tahun : Awal : 1 tablet kemudian sesuai kebutuhan. Maksimal : 4-6 tablet/hari.,"Sembelit, kram perut, pusing, kantuk, mual, muntah, dan mulut kering."
94,Madrox,"Al hidroksida 250 mg, Mg Hidroksida 250 mg, Simetikon 50 mg","Madrox digunakan untuk meredakan gejala hipersekresi lambung, tukak usus duabelas jari, seperti mual, sakit perut, nyeri ulu hati, perut kembung.","Anak-anak usia 6-12 tahun: 1 tablet kunyah, diminum 3-4 kali sehari. Dewasa dan anak usia > 12 tahun: 1-2 tablet kunyah, diminum 3-4 kali sehari.","Efek Samping yang mungkin terjadi adalah:  Sembelit, Diare, Mual dan muntah."
95,Norvom,Metoclopramide HCl 10 mg.,Norvom digunakan untuk mempercepat pengosongan lambung dan mencegah mual dan muntah pasca operasi dan kemoterapi.,"Mencegah Mual dan Muntah Dosis: 3 x sehari 10 mg. Durasi maksimal: 5 hari.Diabetes stasis lambung. Dewasa: 10 mg 4 kali sehari selama 2-8 minggu. Penyakit refluks gastroesofagus. Dewasa: 10-15 mg 4 kali sehari, tergantung keparahan gejala. Jika gejalanya intermiten, dapat memberikan dosis tunggal 20 mg sebelum situasi memprovokasi. Durasi maksimum: 12 minggu. Lansia: 5 mg / dosis.","Gangguan konduksi jantung, Bingung, gemetar, dan halusinasi,  Pusing, Kantuk, Jarang: depresi dengan keinginan bunuh diri, Hipotensi atau tekanan darah rendah, hipertensi atau tekanan darah tinggi,  Gangguan saluran pencernaan, Gangguan penglihatan,  Frekuensi dan inkontinensia urin, Sakit kepala, Reaksi hipersensitivitas (ruam, bronkospasme, angioedema),  Peningkatan sementara konsentrasi plasma aldosteron,  Gelisah"
96,Novapyron,"Methampyron 500 mg, vitamin B1 50 mg, vitamin B6 100 mg, vitamin B12 100 mcg","Novapyron digunakan untuk meringankan rasa nyeri yang disebabkan oleh neuritis, terutama pada keadaan sakit yang berat.",Dewasa: 3 kali sehari 1 kaplet. Maksimal 4 kaplet sehari.,"Efek samping yang mungkin terjadi selama mengonsumsi obat Novapyron adalah agranulositosis, yakni sumsum tulang gagal membentuk granulosit"
97,Orphen,Chlorpheniramine maleate 4 mg,"Pilek, urticaria (gatal-gatal atau biduran), seasonal hayfever, rhinitis, penyakit serum, pengaruh pemakaian obat-obatan seperti sulfa atau penicillin.","Dewasa 1 kaplet 3-4 x perhari. Anak 6-12 tahun 1/2 kaplet 3-4 x perhari, 2-6 tahun 1/2 kaplet 3-4 x perhari.","Sedasi, gangguan GI, efek antimuskarinik, hipotensi, kelemahan otot, tinitus, euforia, sakit kepala. Stimulasi SSP, reaksi alergi, gangguan darah."
98,Ramabion,"Manganese sulfat 0.4 mg, Ferro gluconat 250 mg, Copper sulfat 0.4 mg, Vitamin C 50 mg, Folic acid 2 mg dan Vitamin B12 15 mcg",Segala jenis anemia,Sehari 1 x 1 tablet,-
99,Panvit C,"Vitamin C 500 mg, Vitamin B1 Mononitrate 50 mg, Vitamin B2 25 mg, Vitamin B3 50 mg, Vitamin B5 20 mg, Vitamin B6 HCl, Viitamin B12 5 mcg.",Suplementari Vitamin C dan Vitamin B kompleks,Sehari 1 kali 1 kaplet.,-
100,Konilife redaxin,Red Yeast Rice 600 mg,Membantu menurunkan kadar kolesterol dan trigliserid,Dewasa : 2 kali per hari 2 kapsul,-
101,Tera F,"Paracetamol 650 mg, Glyceryl guaiacolate 50 mg, Phenylpropanolamine HCL 15 mg, Chlorpheniramine maleate 2 mg","Untuk meringankan gejala flu berat, seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk.","Dewasa dan anak > 12 tahun: 1 kaplet, 3 - 4 kali sehari","Mengantuk, Gangguan pencernaan, Gangguan psikomotor, Mulut kering, Retensi urine, Takikardia (denyut jantung lebih cepat ), Aritmia (denyut jantung tidak beraturan)"
102,Calortusin,"Tiap 5 ml mengandung paracetamol 120 mg, phenylpropanolamine HCl 3.75 mg, chlorpheniramine maleate 0.5 mg, dextromethorphan 5 mg, alkohol 0.5 ml","Untuk meredakan gejala flu seperti demam, bersin-bersin, hidung tersumbat, sakit kepala, yang disertai batuk.","Anak-anak usia 6-12 tahun: diminum 3 kali sehari, ½ kaplet. Dewasa: diminum 3 kali sehari, 1 kaplet.",rasa mengantuk gangguan pencernaan bibir terasa kering kesulitan buang air kecil dan gangguan psikomotor takikardia aritmia
103,Natrium Diklofenak Tablet,Natrium diklofenak 25 mg; natrium diklofenak 50 mg; natrium diklofenak 75 mg; natrium diklofenak 100 mg,Natrium Diklofenak adalah mengatasi berbagai kondisi nyeri dan radang,Dewasa: dosis 50 mg yang diminum 2 – 3 kali sehari. Anak >14 tahun: dosis 25 mg yang diminum 3 kali sehari; atau dosis 50 mg yang diminum 2 kali sehari.,"Iritasi, gatal, rasa terbakar dan reaksi alergi lainnya Gangguan pencernaan, seperti mual, muntah, diare, tukak lambung, sembelit, sakit perut, perut kembung Pusing Sakit kepala Anemia Rasa perih dan panas"
104,Spasminal,Methampyrone 500 mg; papaverin HCl 25 mg; Belladonna extract 10 mg,Untuk meringankan rasa nyeri yang disertai spasme (kejang otot).,"Dewasa: apabila nyeri 1 tablet. Berikutnya, 1 tablet setiap 6 - 8 jam. Maksimum 4 tablet sehari Anak: disesuaikan dengan resep dokter, tergantung kondisi pasien","Gatal dan ruam Pembengkakan pada wajah, mulut dan lidah Serangan asma "
105,Salbutamol Tablet,"mencegah sekaligus mengatasi gangguan otot bronkus berupa penyempitan saluran udara (bronkospasme) yang dapat menyebabkan kekambuhan dan perburukan gejala pada pasien dengan penyakit, Asma, Bronkitis kronis, Emfisema","Dewasa dan anak usia diatas 12 tahun: 2-4 mg diberikan 3 sampai 4 kali sehari. Dosis maksimal: 8 mg diberikan 3 sampai 4 kali sehari. Anak usia 2-6 tahun: 1-2 mg diberikan 3 sampai 4 kali sehari. Anak usia 6-12 tahun: 2 mg diberikan 3 sampai 4 kali sehari. Lanjut usia (lansia): dosis awal 2 mg diberikan 3 sampai 4 kali sehari, kemudian dapat ditingkatkan sesuai dengan respon pasien","Dewasa: apabila nyeri 1 tablet. Berikutnya, 1 tablet setiap 6 - 8 jam. Maksimum 4 tablet sehari Anak: disesuaikan dengan resep dokter, tergantung kondisi pasien","Sakit kepala, Kantuk, Kelemahan Gangguan mood (seperti mudah marah, gelisah dan gugup)."
106,Attalpugite,attapulgite 600 mg,untuk meredakan dan mengatasi diare,"Dewasa: berikan dosis awal 2 tablet sesudah diare pertama. Untuk dosis lanjutan, berikan 2 tablet setiap sesudah buang air besar (diare) Anak usia >12 tahun: dosis sama untuk usia dewasa, atau sesuai instruksi dokter Anak usia 6-12 tahun: dosis umum ½ dari dosis usia dewasa. Dosis maksimal 6 tablet per hari, atau sesuai instruksi dokter","Sembelit Terasa sesak di dada Ruam kulit Susah bernapas Bengkak di bagian wajah, mulut, bibir atau lidah"
107,Cetirizine,Sediaan tablet mengandung Cetirizine 10 mg,mengatasi gejala alergi,"untuk orang dewasa sebanyak 1 tablet, yang diminum 1 kali sehari atau ½ tablet, diminum 2 kali sehari.",Rasa kantuk Sulit tidur Rasa lelah Pusing dan sakit kepala Radang tenggorokan Nyeri lambung diare Batuk berdarah Penyempitan saluran napas Mual dan muntah Mulut kering 
108,Miconazole,Miconazole Nitrate 2%.,untuk mengobati kondisi kulit yang terinfeksi jamur.,Oleskan Miconazole secukupnya pada bagian kulit yang terinfeksi sebanyak 2 sampai 3 kali sehari. Sesuai aturan dokter.,Iritasi Sensasi kulit terbakar gatal-gatal Ruam kul 
109,Vitamin B Complex,"Vitamin B1 2 mg, vitamin B2 2 mg, vitamin B6 2 mg, calcium pantothenate 10 mg, nicotinamide (20 mg)",Vitamin B Kompleks IPI digunakan untuk membantu memenuhi kebutuhan vitamin B kompleks. Manfaat Vitamin B Kompleks IPI lainnya adalah: •	menjaga kesehatan tubuh •	mengurangi risiko glaukoma •	meningkatkan nafsu makan •	bantu fungsi sistem saraf •	membantu perbaikan jaringan tubuh•	membantu perkembangan janin•	regenerasi sel darah merah •	memperbaiki kesehatan kulit •	bantu pembentukan glikogen •	berperan dalam kesuburan wanita •	membantu metabolisme karbohidrat •	pertumbuhan sel sumsum tulang •	menurunkan risiko Alzheimer ,"Dosis Vitamin B Kompleks IPI untuk dewasa tergantung pada kondisi. Biasanya dikonsumsi 1-2 tablet sehari. Untuk anak, sebaiknya konsultasikan dengan dokter.","Vitamin B kompleks jika dikonsumsi berlebih dapat menyebabkan gangguan pada lambung, seperti nyeri lambung."
110,Atorvastatin,"Atorvastatin 10 mg, 20 mg, 40 mg",membantu menurunkan kadar kolesterol dan trigliserida (lemak) pada orang dewasa dan anak di atas 10 tahun.,"Dewasa: Dosis awal diberikan dosis 10–20 mg sekali sehari. Dosis dapat disesuaikan dengan jarak waktu 4 minggu. Dosis dapat ditingkatkan hingga 40 mg sekali sehari. Maksimal dosis: 80 mg /hari. Anak usia 10–17 tahun: Diberikan dosis 10 mg, diminum sekali sehari. Dosis dapat ditingkatan dengan jarak waktu 4 minggu maksimal 20 mg per hari atau sesuai dengan petunjuk dokter. ","Sakit kepala, Perut kembung, sembelit, dispepsia (nyeri perut bagian atas), mual dan muntah, diare, serta anoreksia (gangguan penurunan nafsu makan yang berlebihan) Nyeri pada ekstremitas (tulang anggota gerak seperti lengan dan kaki), muskuloskeletal (sendi), dan pharyngolaryngeal (tenggorokan dan pita suara) Miopati (otot melemah bahkan lumpuh), kejang otot, mialgia (nyeri otot), dan artralgia (nyeri sendi) Nasopharyngitis (radang tenggorokan) Insomnia (kesulitan tidur) Infeksi saluran kemih (ISK) "
111,Histigo,Betahistine mesylate 6 mg,"Manfaat Histigo adalah untuk mengobati vertigo, tinnitus, dan gangguan pendengaran yang terkait dengan penyakit meniere.","Dosis 1-2 kaplet, yang diminum 3 kali sehari","ruam kulit dan pruritus (gatal di tubuh) urtikaria (biduran) mual sakit kepala kebingungan mengantuk kejang hipotensi takikardia (denyut jantung cepat) perut kembung ulkus peptikum (kerusakan pada lapisan mukosa, submucosa, sampai lapisan otot saluran cerna akibat aktivitas pepsin dan asam lambung yang berlebihan)dyspnea (kesulitan bernapas atau napas terasa berat)"
112,Dimenhydrinate,Dimenhydrinate 50 mg.,"untuk mencegah mual, muntah, dan mabuk dalam perjalanan.","Dewasa dan anak di atas 14 tahun: 1 tablet, diminum 1/2 jam sebelum perjalanan, bila perlu dapat diulang tiap 4 jam. Anak 8-12 tahun: 1/2 tablet, diminum 1/2 jam sebelum perjalanan, bila perlu dapat diulang tiap 4 jam. Anak 5-8 tahun: 1/4 tablet, diminum 1/2 jam sebelum perjalanan, bila perlu dapat diulang tiap 4 jam.",Mengantuk. Sakit kepala. Gangguan koordinasi. Gangguan psikomotor. Mulut kering. Pandangan kabur. Peningkatan refluks lambung.
113,Domperidone,domperidone 10 mg,Domperidone bermanfaat untuk meredakan mual dan muntah,"Dewasa: 10-20 mg, tiap 4-8 jam, periode pengobatan maksimal 12 minggu Anak (hanya pada mual dan muntah akibat sitotoksik atau radioterapi): 200-400 mcg/kg BB tiap 48 jam",Mulut kering Amenorea (wanita tidak menstruasi) Naiknya kadar prolaktin (tergantung dosis) yang bisa sebabkan galaktorea (kondisi bocor air susu dari payudara) Ginekomastia atau pembengkakan jaringan payudara laki-laki Nyeri payudara Retensi urine
114,Ondansetron,ondansetron hcl dihydrate 4 mg; 8 mg,pencegahan mual dan muntah setelah kemoterapi,Dewasa 8 mg dua kali sehari digunakan hingga 5 hari.,Bradikardia (denyut jantung di bawah normal) Hipotensi Aritmia (gangguan irama jantung) Hipoksia (kekurangan oksigen) Peningkatan sementara enzim hati Sakit kepala Sembelit Sensasi terbakar pada kepala dan ulu hati (epigastrium) Mengantuk Diare Nyeri dada Penglihatan kabur sementara Perubahan EKG 
115,Cendo Lyteers,"Sodium Chloride 4.4 mg, Kalium Chloride 0.8 mg",digunakan untuk membantu melumasi mata kering akibat iritasi.,"Teteskan 1-2 tetes Cendo Lyteers pada mata, sebanyak 3 sampai 4 kali sehari.",Rasa gatal Rasa nyeri sementara 
116,Cendo Cenfresh,Carboxymethylcellulose sodium 5 mg/ml,Cendo Cenfresh digunakan untuk membantu mengurangi gejala mata kering dan iritasi ringan.,"Dewasa: Teteskan 1–2 tetes Cendo Cenfresh pada mata yang sakit, sebanyak 3–4 kali sehari atau sesuai dengan kebutuhan.",Hipersensitif (alergi) Iritasi Gatal Tekanan intraokular meningkat Rasa terbakar Dermatitis (peradangan kulit)
117,Microlax,"Sodium lauryl sulfoacetate 0.045 gram, Sodium citrate 0.450 g, Sorbitol 4.465 gram Polyethylene Glycol 400 0.625 gram ","Microlax digunakan untuk melunakkan feses sehingga membantu melancarkan proses buang air besar, serta mengosongkan usus.","Untuk anak di atas 3 tahun dan dewasa, beri 1 tube dengan memasukkan pipa aplikator seluruhnya pada rektum/anus. Untuk anak < 3 tahun, beri ½ tube (2.5 mL) pada rektum/anus.",Belum pernah ada laporan adanya efek samping. Penggunaan berlebih dapat menyebabkan diare dan kekurangan cairan.
118,Dulcolax,Bisacodyl 5 mg,"Dulcolax sebagai pencahar digunakan untuk mengatasi susah buang air besar, serta pembersihan usus sebelum prosedur radiologi atau bedah.",Dewasa: 1 – 2 tablet sebagai dosis tunggal per hari diminum sebelum tidur. Dosis maksimal 4 tablet per hari atau 1 suppositoria 10 mg per hari Anak 6 - 12 tahun: ½ - 1 tablet sebagai dosis tunggal per hari diminum sebelum tidur. Anak >4 – 10 tahun: 1 suppositoria 5 mg per hari.,"Gangguan saluran cerna (kram dan nyeri abdomen, diare) Reaksi alergi Hipokalemia"
119,Gentamicin Salep,"gentamicin 0,1%","Meningitis, ventriculitis, dan infeksi susunan saraf pusat lainnya.",Dewasa: 3-4 kali sehari oleskan tipis ke area yang terkena dampak infeksi setelah dibersihkan terlebih dahulu Anak: sama dengan dosis dewasa,"Kejang-kejang. Kedutan, ketegangan, atau kontraksi otot. Mati rasa atau perasaan geli."
120,Kloramfenikol Salep,setiap gram salep mengandung 10 mg chloramphenicol,Mengobati infeksi kulit akibat bakteri seperti:• luka bernanah kecil• bisul (furunkel)• luka gores yang terinfeksi• koreng (impetigo)• infeksi kulit ringan akibat bakteri Staphylococcus aureus atau Streptococcus,"Oleskan tipis-tipis pada area kulit yang terinfeksi 2–3 kali sehari, tergantung tingkat keparahan. Sebaiknya area luka dibersihkan dulu pakai air bersih / NaCl sebelum dioles. Lama pemakaian: maksimal 5–7 hari, jangan lebih tanpa petunjuk dokter","(gatal, merah, perih)•	Reaksi alergi lokal•	Penggunaan lama bisa menyebabkan sensitisasi kulit•	Jarang banget, tapi kalau diserap banyak bisa ganggu sistem darah (anemia aplastik)"
